time,Avior,Josephine
1948,322,149
1949,410,71
1950,857,57
1951,185,70
1952,743,100
1953,140,164
1954,84,191
1955,230,82
1956,424,85
1957,140,4
1958,305,39
1959,20,93
1960,50,159
1961,84,107
1962,10,71
1963,381,906
1964,246,426
1965,0,12
1966,271,65
1967,62,6
1968,61,142
1969,68,141
1970,127,69
1971,73,42
1972,108,10
1973,80,247
1974,331,172
1975,234,30
1976,221,327
1977,33,163
1978,246,174
1979,78,34
1980,25,39
1981,273,113
1982,95,135
1983,149,154
1984,143,70
1985,78,31
1986,8,47
1987,310,124
1988,390,35
1989,31,0
1990,91,18
1991,647,4
1992,938,9
1993,1307,220
1994,978,171
1995,995,27
1996,538,277
1997,576,19
1998,481,109
1999,120,61
2000,570,450
2001,539,510
2002,396,110
2003,868,25
2004,54,174
2005,841,350
2006,617,239
2007,643,459
2008,264,741
2009,627,657
2010,155,128
2011,373,68
2012,509,68
2013,111,201
2014,58,148
2015,110,73
2016,95,263
2017,278,178
2018,374,142
2019,10,92
2020,15,296
2021,45,244
2022,163,50
2023,69,115
2024,47,106
2025,197,249
2026,614,22
2027,409,130
2028,921,552
2029,457,113
2030,278,45
2031,452,314
2032,31,84
2033,202,126
2034,619,525
2035,84,217
2036,439,140
2037,346,53
2038,250,88
2039,364,53
2040,259,56
2041,55,296
2042,348,58
2043,20,76
2044,95,11
2045,158,26
2046,119,16
2047,79,188
2048,90,239
2049,121,158
2050,113,70
2051,130,58
2052,68,65
2053,75,144
2054,167,122
2055,378,332
2056,428,48
2057,379,60
2058,609,566
2059,125,111
2060,225,118
2061,5,84
2062,175,97
2063,473,85
2064,204,7
2065,101,52
2066,319,244
2067,46,179
2068,472,179
2069,407,298
2070,143,9
2071,82,100
2072,95,132
2073,14,24
2074,0,22
2075,4,49
2076,5,321
2077,163,332
2078,130,16
2079,28,9
2080,66,24
2081,122,11
2082,475,0
2083,327,9
2084,136,63
2085,0,0
2086,0,26
2087,40,4
2088,166,0
2089,246,143
2090,258,380
2091,447,341
2092,393,272
2093,90,386
2094,18,21
2095,54,4
2096,140,60
2097,213,24
2098,457,11
2099,208,0
2100,379,82
2101,6,4
2102,335,10
2103,22,119
2104,20,296
2105,319,25
2106,367,574
2107,57,360
2108,57,105
2109,79,164
2110,47,161
2111,35,160
2112,27,147
2113,21,158
2114,38,260
2115,287,34
2116,1134,5
2117,1868,76
2118,591,648
2119,1220,312
2120,1037,14
2121,1043,23
2122,1051,43
2123,1161,38
2124,698,0
2125,643,8
